2 We respectfully invite you to watch a special edition of Across China . ||| B-ARG0 B-ARGM-MNR B-V B-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
26 So , it was amidst such a grave international and domestic situation that the Eighth Route Army led by the Chinese Communist Party , ah , launched , ah , a strategic offensive called the Hundred Regiments Offensive . ||| O O O O B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC B-R-ARGM-LOC B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O B-ARGM-DIS O B-V O B-ARGM-DIS O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
33 So , it was amidst such a grave international and domestic situation that the Eighth Route Army led by the Chinese Communist Party , ah , launched , ah , a strategic offensive called the Hundred Regiments Offensive . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ARG1 I-ARG1 I-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 O
1 This plot of the Japanese army drew great attention from Zhu De and Peng Dehuai of Eighth Route Army headquarters . ||| O B-V B-ARG0 I-ARG0 I-ARG0 I-ARG0 O O O O O O O O O O O O O O O
6 This plot of the Japanese army drew great attention from Zhu De and Peng Dehuai of Eighth Route Army headquarters . ||| B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 B-V B-ARG1 I-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
13 After meticulous studies and painstaking preparations by many parties , a battle plan based on surprise was formulated . ||| O O O O O O O O O O B-ARG1 I-ARG1 I-ARG1 B-V B-ARG2 I-ARG2 O O O
16 After meticulous studies and painstaking preparations by many parties , a battle plan based on surprise was formulated . ||| O O O O O O O O O O O O O O O O B-V O O
17 After meticulous studies and painstaking preparations by many parties , a battle plan based on surprise was formulated . ||| B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-V O
11 On July 22 , 1940 , a campaign preparation order to attack the Zhengtai Railway , jointly signed by Zhu De , Peng Dehuai , and Zuo Quan , was sent to Yan'an and all units of the Eighth Route Army . ||| O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 O O O O O O O O O O O O O O O O O O O O O O O O O O O
17 On July 22 , 1940 , a campaign preparation order to attack the Zhengtai Railway , jointly signed by Zhu De , Peng Dehuai , and Zuo Quan , was sent to Yan'an and all units of the Eighth Route Army . ||| O O O O O O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-ARGM-ADV B-V B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O O O O O O O O O O O O O O
29 On July 22 , 1940 , a campaign preparation order to attack the Zhengtai Railway , jointly signed by Zhu De , Peng Dehuai , and Zuo Quan , was sent to Yan'an and all units of the Eighth Route Army . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-V O O O O O O O O O O O O
30 On July 22 , 1940 , a campaign preparation order to attack the Zhengtai Railway , jointly signed by Zhu De , Peng Dehuai , and Zuo Quan , was sent to Yan'an and all units of the Eighth Route Army . ||| B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O O B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
1 What was the , purpose and goal of this campaign ? ||| B-ARG2 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
1 It was to break through the Japanese army 's siege policy against base areas behind enemy lines , and to avert the crisis of China 's compromise and surrender . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
3 It was to break through the Japanese army 's siege policy against base areas behind enemy lines , and to avert the crisis of China 's compromise and surrender . ||| O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O O O O O O O O O O O O O
20 It was to break through the Japanese army 's siege policy against base areas behind enemy lines , and to avert the crisis of China 's compromise and surrender . ||| O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
1 It was to overcome this crisis . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 O
3 It was to overcome this crisis . ||| O O O B-V B-ARG1 I-ARG1 O
6 Well , the Hundred Regiments Offensive was divided into three phases . ||| O O O O O O B-V O O O O O
7 Well , the Hundred Regiments Offensive was divided into three phases . ||| B-ARGM-DIS O B-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-V B-ARG2 I-ARG2 I-ARG2 O
0 Beginning from August 20 , from August 20 to September 10 , the main purpose of the campaign was to sabotage the Zhengtai Railway . ||| B-V B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O O O O O O O O O O O O O O O O O O O O O
18 Beginning from August 20 , from August 20 to September 10 , the main purpose of the campaign was to sabotage the Zhengtai Railway . ||| B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
20 Beginning from August 20 , from August 20 to September 10 , the main purpose of the campaign was to sabotage the Zhengtai Railway . ||| O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 O
3 The Zhengtai Railway started from Zhengding , Hebei in the east and ended in Taiyuan in the west , with a total length of 243 kilometers traversing the Taihang Mountain range . ||| B-ARG1 I-ARG1 I-ARG1 B-V B-ARGM-DIR I-ARGM-DIR I-ARGM-DIR I-ARGM-DIR I-ARGM-DIR I-ARGM-DIR I-ARGM-DIR O O O O O O O O O O O O O O O O O O O O O
